"","month","n"
"1",1996-06-01,63
"2",1996-07-01,60
"3",1996-08-01,64
"4",1996-09-01,64
"5",1996-10-01,64
"6",1996-11-01,57
"7",1996-12-01,64
"8",1997-01-01,64
"9",1997-02-01,64
"10",1997-03-01,69
"11",1997-04-01,54
"12",1997-05-01,74
"13",1997-06-01,74
"14",1997-07-01,74
"15",1997-08-01,74
"16",1997-09-01,74
"17",1997-10-01,74
"18",1997-11-01,74
"19",1997-12-01,74
"20",1998-01-01,40
"21",1998-02-01,40
"22",1998-03-01,40
"23",1998-04-01,40
"24",1998-05-01,41
"25",1998-06-01,40
"26",1998-07-01,40
"27",1998-08-01,40
"28",1998-09-01,40
"29",1998-10-01,41
"30",1998-11-01,40
"31",1998-12-01,40
"32",1999-01-01,46
"33",1999-02-01,46
"34",1999-03-01,46
"35",1999-04-01,46
"36",1999-05-01,46
"37",1999-06-01,46
"38",1999-07-01,46
"39",1999-08-01,46
"40",1999-09-01,69
"41",1999-10-01,61
"42",1999-11-01,59
"43",1999-12-01,55
"44",2000-01-01,53
"45",2000-02-01,55
"46",2000-03-01,60
"47",2000-04-01,59
"48",2000-05-01,66
"49",2000-06-01,67
"50",2000-07-01,67
"51",2000-08-01,63
"52",2000-09-01,74
"53",2000-10-01,68
"54",2000-11-01,60
"55",2000-12-01,55
"56",2001-01-01,62
"57",2001-02-01,175
"58",2001-03-01,164
"59",2001-04-01,168
"60",2001-05-01,180
"61",2001-06-01,176
"62",2001-07-01,253
"63",2001-08-01,169
"64",2001-09-01,152
"65",2001-10-01,148
"66",2001-11-01,144
"67",2001-12-01,144
"68",2002-01-01,136
"69",2002-02-01,134
"70",2002-03-01,150
"71",2002-04-01,158
"72",2002-05-01,170
"73",2002-06-01,164
"74",2002-07-01,191
"75",2002-08-01,162
"76",2002-09-01,179
"77",2002-10-01,167
"78",2002-11-01,155
"79",2002-12-01,157
"80",2003-01-01,147
"81",2003-02-01,153
"82",2003-03-01,149
"83",2003-04-01,161
"84",2003-05-01,155
"85",2003-06-01,165
"86",2003-07-01,202
"87",2003-08-01,161
"88",2003-09-01,155
"89",2003-10-01,170
"90",2003-11-01,164
"91",2003-12-01,168
"92",2004-01-01,168
"93",2004-02-01,143
"94",2004-03-01,170
"95",2004-04-01,175
"96",2004-05-01,168
"97",2004-06-01,173
"98",2004-07-01,184
"99",2004-08-01,143
"100",2004-09-01,152
"101",2004-10-01,155
"102",2004-11-01,157
"103",2004-12-01,139
"104",2005-01-01,151
"105",2005-02-01,150
"106",2005-03-01,162
"107",2005-04-01,189
"108",2005-05-01,168
"109",2005-06-01,166
"110",2005-07-01,180
"111",2005-08-01,181
"112",2005-09-01,183
"113",2005-10-01,160
"114",2005-11-01,175
"115",2005-12-01,173
"116",2006-01-01,153
"117",2006-02-01,161
"118",2006-03-01,172
"119",2006-04-01,168
"120",2006-05-01,179
"121",2006-06-01,178
"122",2006-07-01,184
"123",2006-08-01,161
"124",2006-09-01,179
"125",2006-10-01,182
"126",2006-11-01,169
"127",2006-12-01,162
"128",2007-01-01,169
"129",2007-02-01,177
"130",2007-03-01,168
"131",2007-04-01,170
"132",2007-05-01,182
"133",2007-06-01,187
"134",2007-07-01,176
"135",2007-08-01,188
"136",2007-09-01,177
"137",2007-10-01,183
"138",2007-11-01,179
"139",2007-12-01,168
"140",2008-01-01,172
"141",2008-02-01,169
"142",2008-03-01,169
"143",2008-04-01,177
"144",2008-05-01,184
"145",2008-06-01,184
