"","month(NEWDATE)","year(NEWDATE)","Reference"
"1",6,1996,63
"2",7,1996,60
"3",8,1996,64
"4",9,1996,64
"5",10,1996,64
"6",11,1996,57
"7",12,1996,64
"8",1,1997,64
"9",2,1997,64
"10",3,1997,69
"11",4,1997,54
"12",5,1997,74
"13",6,1997,74
"14",7,1997,74
"15",8,1997,74
"16",9,1997,74
"17",10,1997,74
"18",11,1997,74
"19",12,1997,74
"20",1,1998,40
"21",2,1998,40
"22",3,1998,40
"23",4,1998,40
"24",5,1998,41
"25",6,1998,40
"26",7,1998,40
"27",8,1998,40
"28",9,1998,40
"29",10,1998,41
"30",11,1998,40
"31",12,1998,40
"32",1,1999,46
"33",2,1999,46
"34",3,1999,46
"35",4,1999,46
"36",5,1999,46
"37",6,1999,46
"38",7,1999,46
"39",8,1999,46
"40",9,1999,69
"41",10,1999,61
"42",11,1999,59
"43",12,1999,55
"44",1,2000,53
"45",2,2000,55
"46",3,2000,60
"47",4,2000,59
"48",5,2000,66
"49",6,2000,67
"50",7,2000,67
"51",8,2000,63
"52",9,2000,74
"53",10,2000,68
"54",11,2000,60
"55",12,2000,55
"56",1,2001,62
"57",2,2001,175
"58",3,2001,164
"59",4,2001,168
"60",5,2001,180
"61",6,2001,176
"62",7,2001,253
"63",8,2001,169
"64",9,2001,152
"65",10,2001,148
"66",11,2001,144
"67",12,2001,144
"68",1,2002,136
"69",2,2002,134
"70",3,2002,150
"71",4,2002,158
"72",5,2002,170
"73",6,2002,164
"74",7,2002,191
"75",8,2002,162
"76",9,2002,179
"77",10,2002,167
"78",11,2002,155
"79",12,2002,157
"80",1,2003,147
"81",2,2003,153
"82",3,2003,149
"83",4,2003,161
"84",5,2003,155
"85",6,2003,165
"86",7,2003,202
"87",8,2003,161
"88",9,2003,155
"89",10,2003,170
"90",11,2003,164
"91",12,2003,168
"92",1,2004,168
"93",2,2004,143
"94",3,2004,170
"95",4,2004,175
"96",5,2004,168
"97",6,2004,173
"98",7,2004,184
"99",8,2004,143
"100",9,2004,152
"101",10,2004,155
"102",11,2004,157
"103",12,2004,139
"104",1,2005,151
"105",2,2005,150
"106",3,2005,162
"107",4,2005,189
"108",5,2005,168
"109",6,2005,166
"110",7,2005,180
"111",8,2005,181
"112",9,2005,183
"113",10,2005,160
"114",11,2005,175
"115",12,2005,173
"116",1,2006,153
"117",2,2006,161
"118",3,2006,172
"119",4,2006,168
"120",5,2006,179
"121",6,2006,178
"122",7,2006,184
"123",8,2006,161
"124",9,2006,179
"125",10,2006,182
"126",11,2006,169
"127",12,2006,162
"128",1,2007,169
"129",2,2007,177
"130",3,2007,168
"131",4,2007,170
"132",5,2007,182
"133",6,2007,187
"134",7,2007,176
"135",8,2007,188
"136",9,2007,177
"137",10,2007,183
"138",11,2007,179
"139",12,2007,168
"140",1,2008,172
"141",2,2008,169
"142",3,2008,169
"143",4,2008,177
"144",5,2008,184
"145",6,2008,184
"146",7,2008,162
"147",8,2008,154
"148",9,2008,170
"149",10,2008,166
"150",11,2008,162
"151",12,2008,161
"152",1,2009,176
"153",2,2009,175
"154",3,2009,163
"155",4,2009,165
"156",5,2009,185
"157",6,2009,179
"158",7,2009,182
"159",8,2009,178
"160",9,2009,185
"161",10,2009,173
"162",11,2009,164
"163",12,2009,165
"164",1,2010,166
"165",2,2010,158
"166",3,2010,164
"167",4,2010,187
"168",5,2010,177
"169",6,2010,169
"170",7,2010,179
"171",8,2010,179
"172",9,2010,191
"173",10,2010,179
"174",11,2010,173
"175",12,2010,172
"176",1,2011,173
"177",2,2011,166
"178",3,2011,173
"179",4,2011,172
"180",5,2011,177
"181",6,2011,170
"182",7,2011,184
"183",8,2011,162
"184",9,2011,181
"185",10,2011,180
"186",11,2011,169
"187",12,2011,163
"188",1,2012,168
"189",2,2012,170
"190",3,2012,167
"191",4,2012,174
"192",5,2012,197
"193",6,2012,184
"194",7,2012,184
"195",8,2012,164
"196",9,2012,188
"197",10,2012,175
"198",11,2012,166
"199",12,2012,167
"200",1,2013,176
"201",2,2013,153
"202",3,2013,168
"203",4,2013,173
"204",5,2013,183
"205",6,2013,176
"206",7,2013,176
"207",8,2013,173
"208",9,2013,182
"209",10,2013,178
"210",11,2013,164
"211",12,2013,181
"212",1,2014,171
"213",2,2014,171
"214",3,2014,168
"215",4,2014,169
"216",5,2014,179
"217",6,2014,181
"218",7,2014,170
"219",8,2014,171
"220",9,2014,178
"221",10,2014,174
"222",11,2014,186
"223",12,2014,169
"224",1,2015,175
"225",2,2015,169
"226",3,2015,169
"227",4,2015,165
"228",5,2015,167
"229",6,2015,177
"230",7,2015,170
"231",8,2015,177
"232",9,2015,163
"233",10,2015,177
"234",11,2015,170
"235",12,2015,171
"236",1,2016,165
"237",2,2016,178
"238",3,2016,166
"239",4,2016,180
"240",5,2016,179
"241",6,2016,195
"242",7,2016,162
"243",8,2016,177
"244",9,2016,178
"245",10,2016,173
"246",11,2016,175
"247",12,2016,159
"248",1,2017,171
"249",2,2017,169
"250",3,2017,178
"251",4,2017,180
