"","month(NEWDATE)","year(NEWDATE)","Salinity.x","Reference"
"1",6,1996,0,3
"2",8,1996,0,1
"3",2,1997,0,1
"4",3,1997,0,1
"5",2,1998,0,1
"6",3,1998,0,5
"7",8,2001,0,1
"8",3,2002,0,9
"9",3,2003,0,25
"10",7,2003,0,1
"11",4,2005,0,41
"12",4,2009,0,8
"13",3,2013,0,22
"14",5,2014,0,7
"15",6,1997,0.1,1
"16",12,1997,0.1,4
"17",1,1998,0.1,2
"18",2,1998,0.1,2
"19",3,1998,0.1,2
"20",4,1998,0.1,4
"21",10,1998,0.1,2
"22",3,2001,0.1,20
"23",4,2001,0.1,24
"24",7,2001,0.1,10
"25",8,2001,0.1,22
"26",9,2001,0.1,7
"27",10,2001,0.1,1
"28",2,2002,0.1,2
"29",3,2002,0.1,5
"30",4,2002,0.1,3
"31",7,2002,0.1,1
"32",8,2002,0.1,2
"33",12,2002,0.1,7
"34",1,2003,0.1,25
"35",2,2003,0.1,12
"36",3,2003,0.1,14
"37",4,2003,0.1,43
"38",5,2003,0.1,25
"39",6,2003,0.1,26
"40",7,2003,0.1,24
"41",8,2003,0.1,28
"42",9,2003,0.1,27
"43",12,2003,0.1,2
"44",2,2004,0.1,21
"45",3,2004,0.1,31
"46",7,2004,0.1,9
"47",8,2004,0.1,1
"48",9,2004,0.1,14
"49",10,2004,0.1,41
"50",11,2004,0.1,30
"51",12,2004,0.1,21
"52",1,2005,0.1,6
"53",2,2005,0.1,18
"54",3,2005,0.1,34
"55",4,2005,0.1,15
"56",5,2005,0.1,43
"57",6,2005,0.1,19
"58",7,2005,0.1,33
"59",8,2005,0.1,39
"60",9,2005,0.1,24
"61",12,2005,0.1,1
"62",1,2006,0.1,24
"63",2,2006,0.1,43
"64",3,2006,0.1,28
"65",11,2007,0.1,22
"66",2,2008,0.1,13
"67",3,2008,0.1,34
"68",4,2008,0.1,29
"69",7,2008,0.1,2
"70",9,2008,0.1,37
"71",12,2008,0.1,28
"72",1,2009,0.1,17
"73",3,2009,0.1,7
"74",4,2009,0.1,19
"75",5,2009,0.1,44
"76",6,2009,0.1,28
"77",7,2009,0.1,9
"78",1,2010,0.1,31
"79",3,2010,0.1,33
"80",4,2010,0.1,35
"81",5,2010,0.1,25
"82",6,2010,0.1,1
"83",7,2010,0.1,6
"84",4,2011,0.1,12
"85",7,2012,0.1,38
"86",9,2012,0.1,22
"87",10,2012,0.1,1
"88",3,2013,0.1,11
"89",4,2013,0.1,39
"90",5,2013,0.1,33
"91",6,2013,0.1,25
"92",7,2013,0.1,33
"93",8,2013,0.1,32
"94",9,2013,0.1,32
"95",1,2014,0.1,5
"96",2,2014,0.1,13
"97",3,2014,0.1,32
"98",4,2014,0.1,51
"99",5,2014,0.1,40
"100",6,2014,0.1,37
"101",10,2014,0.1,27
"102",12,2014,0.1,8
"103",1,2015,0.1,35
"104",2,2015,0.1,41
"105",3,2015,0.1,41
"106",4,2015,0.1,23
"107",5,2015,0.1,14
"108",8,2015,0.1,17
"109",9,2015,0.1,7
"110",10,2015,0.1,22
"111",12,2015,0.1,27
"112",1,2016,0.1,34
"113",2,2016,0.1,34
"114",3,2016,0.1,31
"115",4,2016,0.1,21
"116",9,2016,0.1,16
"117",8,1996,0.2,7
"118",3,1997,0.2,1
"119",5,1997,0.2,1
"120",7,1997,0.2,1
"121",12,1997,0.2,1
"122",1,1998,0.2,3
"123",3,1998,0.2,1
"124",4,1998,0.2,1
"125",5,1998,0.2,6
"126",10,1998,0.2,1
"127",2,1999,0.2,1
"128",3,1999,0.2,2
"129",1,2001,0.2,1
"130",2,2001,0.2,18
"131",3,2001,0.2,4
"132",4,2001,0.2,2
"133",5,2001,0.2,6
"134",6,2001,0.2,18
"135",8,2001,0.2,4
"136",9,2001,0.2,7
"137",10,2001,0.2,4
"138",11,2001,0.2,8
"139",12,2001,0.2,4
"140",2,2002,0.2,3
"141",5,2002,0.2,5
"142",7,2002,0.2,13
"143",9,2002,0.2,17
"144",11,2002,0.2,10
"145",12,2002,0.2,5
"146",1,2003,0.2,5
"147",2,2003,0.2,10
"148",3,2003,0.2,3
"149",4,2003,0.2,1
"150",5,2003,0.2,10
"151",6,2003,0.2,8
"152",7,2003,0.2,2
"153",9,2003,0.2,1
"154",10,2003,0.2,27
"155",11,2003,0.2,19
"156",12,2003,0.2,32
"157",1,2004,0.2,26
"158",2,2004,0.2,2
"159",3,2004,0.2,5
"160",4,2004,0.2,25
"161",5,2004,0.2,11
"162",6,2004,0.2,2
"163",7,2004,0.2,13
"164",8,2004,0.2,11
"165",9,2004,0.2,1
"166",10,2004,0.2,3
"167",11,2004,0.2,3
"168",12,2004,0.2,4
"169",1,2005,0.2,3
"170",2,2005,0.2,3
"171",3,2005,0.2,1
"172",6,2005,0.2,12
"173",7,2005,0.2,4
"174",9,2005,0.2,19
"175",10,2005,0.2,12
"176",11,2005,0.2,29
"177",12,2005,0.2,35
"178",1,2006,0.2,10
"179",2,2006,0.2,3
"180",3,2006,0.2,2
"181",4,2006,0.2,29
"182",5,2006,0.2,14
"183",6,2006,0.2,10
"184",7,2006,0.2,16
"185",8,2006,0.2,6
"186",9,2006,0.2,5
"187",10,2006,0.2,16
"188",11,2006,0.2,12
"189",12,2006,0.2,2
"190",1,2007,0.2,24
"191",2,2007,0.2,12
"192",3,2007,0.2,17
