"X2007.3.Year","X2007.3.Month","X2007.3.Day","X2007.3.Lat","X2007.3.Lon","X2007.3.Depth","X2007.3.Bottom_temp","X2007.3.Bottom_sal","X2007.3.Bottom_DO","X2007.3.Surface_temp","X2007.3.Surface_sal","X2007.3.Surface_DO","X2007.3.pH","X2007.3.Data_source"
2007,3,1,29.1279,-83.04595,0.9,19.2,27,"6.2",19.2,27.1,6.2,7.9,"FWC"
2007,3,1,29.140867,-83.021617,0.3,19.8,26.4,"6",19.9,26.4,6,7.9,"FWC"
2007,3,1,29.14825,-83.01615,0.5,19.9,26.2,"5.8",19.9,26.2,5.8,7.9,"FWC"
2007,3,1,29.151283,-82.992267,0.2,20.2,25.4,"5.5",NA,NA,NA,7.8,"FWC"
2007,3,1,29.157217,-83.008333,0.5,20.4,26.1,"5.8",20.4,26.1,5.8,7.8,"FWC"
2007,3,1,29.1515,-83.030017,0.5,20.5,26.3,"5.9",20.5,26.3,5.8,7.8,"FWC"
2007,3,1,29.170833,-83.0381,0.5,21.1,25.8,"5.9",21.2,23.7,5.9,7.8,"FWC"
2007,3,1,29.14975,-83.065933,0.9,19.8,29.3,"6.8",20.3,28.2,7,8,"FWC"
2007,3,1,29.15555,-83.066983,0.5,20.5,28.5,"6.9",20.5,28.5,7.2,8,"FWC"
2007,3,2,29.136383,-83.103267,0.8,16.1,26.4,"9.4",16.1,26.4,9.4,8.1,"FWC"
2007,3,2,29.12265,-83.098333,0.5,15.9,26.3,"9.4",15.9,26.3,9.5,8.1,"FWC"
2007,3,2,29.122217,-83.085417,0.5,16.8,28.3,"9.9",16.7,27.8,9.9,8.1,"FWC"
2007,3,2,29.102733,-83.07055,0.6,16.3,30.8,"10.5",16.3,30.7,10.5,8.1,"FWC"
2007,3,2,29.100717,-83.075033,0.2,16.7,29.9,"9.7",NA,NA,NA,8.1,"FWC"
2007,3,3,29.308083,-83.16245,2.2,14.2,13.1,"7.1",18,0.2,7.2,7.6,"FWC"
2007,3,3,29.302817,-83.155333,3.8,18.5,0.2,"7.4",18.6,0.2,7.7,7.7,"FWC"
2007,3,3,29.2981,-83.162983,3.4,18.4,0.7,"7.4",18.1,0.5,7.3,7.6,"FWC"
2007,3,3,29.289983,-83.1627,2.9,18.9,1.9,"8.4",19,1.7,8.5,7.9,"FWC"
2007,3,3,29.32595,-83.109583,4.9,18.4,0.2,"6.8",18.5,0.2,6.9,7.5,"FWC"
2007,3,3,29.3325,-83.10345,1,18.6,0.2,"7",18.5,0.2,7.7,7.6,"FWC"
2007,3,3,29.319783,-83.1119,0.4,20,0.2,"7.5",20.4,0.2,8.5,7.6,"FWC"
2007,3,3,29.3113,-83.104617,0.7,17.8,0.6,"5.4",17.8,0.6,5.7,7.2,"FWC"
2007,3,4,29.209,-83.12155,0.2,17.4,21.2,"6.1",NA,NA,NA,8.3,"FWC"
2007,3,4,29.22255,-83.110233,1.7,17.1,25.1,"5.4",17.6,20.1,5.5,8.2,"FWC"
